Sno,Customer_code,date,doneorno,Name,Type,Supply_Price,status,Acquired_by,Location,Contact_Person,Contact_number,Adress,Pincode,Geo tag
128,,3rd Mar,,SAS Bakery,Bakery & Sweets,15,Not Live,Karthick,Porur,,,,,
129,,3rd Mar,,Michel Store,Petty shop & Snacks,15,Not Live,Karthick,Porur,,,,,
130,,3rd Mar,,Naresh Fancy Store,Petty shop & Snacks,15,Not Live,Karthick,Porur,,,,,
131,,4th Mar,,Chennai Bakes,Chat & Juice,14,LIVE,Lokesh,Aminjikarai,,,"No:2A, Govindan Street, Ayyavoo Colony, (Opp. M.R.Hospital)Aminjikarai, Chennai - 600029.",,
132,,4th Mar,,Sammrudhi Super Market,Super Market,15,Not Live,Saravanan,Annanagar,,,"No: AP 788, Divine Tower, 10th Street, Annanagar, Chennai - 600040.",,
133,,4th Mar,,Sri Rag Snacks,Tiffen Centre,15,LIVE,Saravanan,Annanagar West,,,,,
134,,4th Mar,,Akash Tea Stall,Petty shop & Snacks,15,Not Live,Saravanan,Porur,,,,,
135,,4th Mar,,Arumugam Bakery,Petty shop & Snacks,15,Not Live,Saravanan,Porur,,,,,
136,,4th Mar,,Thirumalai Sweets,Petty shop & Snacks,15,LIVE,Sankar,Choolaimedu,,,,,
137,,4th Mar,,RK Bakery,Petty shop & Snacks,15,Not Live,Sankar,Choolaimedu,,,,,
138,,4th Mar,,HB Snacks,Petty shop & Snacks,15,LIVE,Sankar,Annanagar East,,,,,
139,,5th Mar,,Senthoor Cool Bar,Petty shop & Snacks,15,Not Live,Saravanan,Koyambedu,,,Near Rohini Theatre,,
140,,5th Mar,,Cholan Mess,Tiffen Centre,15,Not Live,Saravanan,Porur,,,,,
141,,5th Mar,,Kanipriya Store,Petty shop & Snacks,15,Not Live,Saravanan,Porur,,,,,
142,,5th Mar,,Waran's Snacks,Petty shop & Snacks,15,Not Live,Saravanan,Porur,,,,,
143,,5th Mar,,Ragupathi Store,Petty shop & Snacks,15,Not Live,Saravanan,Porur,,,,,
144,,5th Mar,,Sri Ganesh Vegetables & Fruits,Veg & Fruits,14.3,Not Live,Sankar,Purasaiwakkam,,,"No:116, Brickklin Road, Purasaiwakkam, Chennai - 600007. Opp- Arihant Vaikunt Apartment",,
